empresa,tipo_proyecto,region,numero_rca,año_rca,categoria_compromiso,frecuencia_reporte,responsable_area,dias_restantes,historial_incumplimientos,cantidad_documentos,presupuesto_asociado_usd,criticidad,cumplimiento_porcentaje,estado_avance,riesgo_incumplimiento
CGE,Central Hidroelectrica,Los Lagos,RCA-4677,2013,Emisiones Atmosfericas,Anual,Medio Ambiente,81,1,14.0,86113,Alta,71,En Proceso,Medio
Transelec,Subestacion,Atacama,RCA-7287,2016,Arqueologia,Mensual,Permisos,39,1,17.0,89007,Baja,63,En Proceso,Bajo
Colbun,Subestacion,Antofagasta,RCA-9480,2017,Emisiones Atmosfericas,Mensual,,49,2,13.0,90303,Alta,33,Pendiente,Alto
Engie,Parque Solar,Biobio,RCA-2409,2022,Ruido,Trimestral,Medio Ambiente,154,1,13.0,81504,Media,90,Completado,Bajo
Colbun,Subestacion,Valparaiso,RCA-9205,2015,Ruido,Trimestral,Territorio,72,3,9.0,104500,Media,79,En Proceso,Medio
Transelec,Parque Solar,Metropolitana,RCA-1256,2011,Calidad de Aguas,Semestral,Operacion,258,1,6.0,72935,Alta,73,En Proceso,Medio
AES Andes,Parque Eolico,Antofagasta,RCA-2721,2016,Flora y Fauna,Mensual,Territorio,21,3,6.0,88804,Alta,7,Pendiente,Alto
AES Andes,Parque Solar,Los Lagos,RCA-2423,2022,Emisiones Atmosfericas,Anual,Construccion,265,0,30.0,72285,Alta,96,Completado,Medio
Colbun,Subestacion,Metropolitana,RCA-5953,2018,Emisiones Atmosfericas,Trimestral,Construccion,217,1,37.0,42220,Media,64,En Proceso,Bajo
Enel,Linea de Transmision,Atacama,RCA-3990,2014,Ruido,Semestral,Permisos,317,0,14.0,93609,Media,67,En Proceso,Bajo
Colbun,Subestacion,Los Lagos,RCA-2195,2024,Emisiones Atmosfericas,Trimestral,Permisos,260,2,4.0,6254,Alta,70,En Proceso,Medio
CGE,Linea de Transmision,Valparaiso,RCA-5559,2011,Flora y Fauna,Trimestral,Territorio,220,1,34.0,88733,Alta,88,Completado,Medio
CGE,Central Hidroelectrica,Atacama,RCA-5365,2013,Residuos,Anual,Medio Ambiente,355,0,2.0,102182,Media,80,Completado,Bajo
AES Andes,Subestacion,Valparaiso,RCA-2244,2012,Residuos,Trimestral,Medio Ambiente,290,0,17.0,89699,Media,98,Completado,Bajo
Enel,Linea de Transmision,Valparaiso,RCA-7766,2013,Flora y Fauna,Semestral,Operacion,11,3,14.0,55269,Media,12,Pendiente,Alto
Transelec,Linea de Transmision,Metropolitana,RCA-6302,2019,Emisiones Atmosfericas,Anual,Medio Ambiente,203,2,17.0,113658,Media,78,En Proceso,Bajo
CGE,Parque Solar,Atacama,RCA-2306,2016,Emisiones Atmosfericas,Trimestral,Permisos,95,2,30.0,120365,Media,62,En Proceso,Bajo
AES Andes,Parque Solar,Atacama,RCA-3402,2019,Emisiones Atmosfericas,Trimestral,Medio Ambiente,151,2,29.0,91639,Alta,93,Completado,Medio
Engie,Subestacion,Antofagasta,RCA-1496,2017,Reforestacion,Mensual,Operacion,154,1,7.0,121370,Media,97,Completado,Bajo
AES Andes,Linea de Transmision,Los Lagos,RCA-4399,2010,Calidad de Aguas,Mensual,Construccion,56,2,9.0,127998,Alta,48,En Proceso,Medio
CGE,Subestacion,Atacama,RCA-1909,2022,Arqueologia,Mensual,Medio Ambiente,247,0,23.0,58960,Alta,91,Completado,Medio
CGE,Subestacion,Antofagasta,RCA-1372,2017,Flora y Fauna,Mensual,Medio Ambiente,223,2,36.0,52225,Alta,95,Completado,Medio
AES Andes,Parque Solar,Coquimbo,RCA-7236,2014,Flora y Fauna,Mensual,Permisos,10,0,14.0,93579,Alta,38,Pendiente,Alto
Transelec,Parque Solar,Coquimbo,RCA-2344,2021,Reforestacion,Mensual,Territorio,113,1,20.0,-3522,Baja,73,En Proceso,Bajo
Colbun,Subestacion,Coquimbo,RCA-9515,2016,Flora y Fauna,Mensual,Construccion,355,0,17.0,69461,Alta,66,En Proceso,Medio
CGE,Linea de Transmision,Biobio,RCA-3431,2020,Flora y Fauna,Trimestral,Territorio,70,2,32.0,58523,Alta,49,En Proceso,Medio
AES Andes,Central Hidroelectrica,Atacama,RCA-5670,2020,Reforestacion,Mensual,Operacion,14,0,25.0,70271,Baja,31,Pendiente,Alto
AES Andes,Subestacion,Biobio,RCA-3784,2010,Flora y Fauna,Mensual,Operacion,206,1,30.0,44319,Alta,90,Completado,Medio
Enel,Parque Solar,Los Lagos,RCA-2695,2011,Emisiones Atmosfericas,Trimestral,Territorio,286,1,27.0,71184,Alta,81,Completado,Medio
Colbun,Linea de Transmision,Atacama,RCA-2907,2010,Reforestacion,Trimestral,Permisos,218,0,27.0,90148,Media,64,En Proceso,Bajo
Engie,Subestacion,Antofagasta,RCA-5814,2014,Calidad de Aguas,Trimestral,Permisos,72,2,31.0,118143,Alta,60,En Proceso,Medio
Transelec,Linea de Transmision,Biobio,RCA-1780,2023,Ruido,Trimestral,Permisos,251,1,26.0,86715,Media,74,En Proceso,Bajo
Engie,Parque Solar,Biobio,RCA-2019,2023,Emisiones Atmosfericas,Semestral,Construccion,358,2,14.0,30636,Alta,76,En Proceso,Medio
Colbun,Central Hidroelectrica,Los Lagos,RCA-2403,2015,Emisiones Atmosfericas,Trimestral,Operacion,331,1,21.0,76634,Media,96,Completado,Bajo
Colbun,Subestacion,Biobio,RCA-2426,2019,Arqueologia,Trimestral,Operacion,54,1,28.0,110478,Media,48,En Proceso,Bajo
Colbun,Linea de Transmision,Valparaiso,RCA-9855,2018,Reforestacion,Anual,Operacion,21,0,15.0,69818,Baja,9,Pendiente,Alto
Engie,Linea de Transmision,Antofagasta,RCA-6868,2017,Ruido,Semestral,Construccion,15,0,30.0,92135,Baja,43,En Proceso,Medio
Colbun,Subestacion,Coquimbo,RCA-1010,2016,Flora y Fauna,Trimestral,Operacion,313,0,25.0,105320,Alta,93,Completado,Medio
AES Andes,Linea de Transmision,Antofagasta,RCA-7330,2021,Ruido,Trimestral,Territorio,310,1,,79310,Alta,84,Completado,Medio
Engie,Linea de Transmision,Valparaiso,RCA-3825,2014,Calidad de Aguas,Mensual,Medio Ambiente,128,1,11.0,83971,Alta,96,Completado,Medio
Colbun,Parque Eolico,Los Lagos,RCA-8464,2023,Residuos,Trimestral,Construccion,229,1,28.0,89741,Media,87,Completado,Bajo
AES Andes,Subestacion,Los Lagos,RCA-4003,2024,Emisiones Atmosfericas,Anual,Medio Ambiente,248,1,5.0,64607,Alta,74,En Proceso,Medio
Enel,Linea de Transmision,Atacama,RCA-8195,2012,Reforestacion,Trimestral,Territorio,322,0,28.0,69890,Media,79,En Proceso,Bajo
Colbun,Central Hidroelectrica,Antofagasta,RCA-7720,2025,Reforestacion,Anual,Permisos,336,2,8.0,53050,Media,72,En Proceso,Bajo
Engie,Linea de Transmision,Los Lagos,RCA-4088,2018,Ruido,Trimestral,Permisos,350,0,26.0,62870,Media,79,En Proceso,Bajo
CGE,Central Hidroelectrica,Biobio,RCA-2789,2022,Arqueologia,Anual,Permisos,33,0,6.0,95280,Media,72,En Proceso,Bajo
Colbun,Subestacion,Los Lagos,RCA-4036,2014,Calidad de Aguas,Trimestral,Construccion,362,0,32.0,88477,Media,90,Completado,Bajo
CGE,Central Hidroelectrica,Los Lagos,RCA-8377,2012,Residuos,Mensual,Permisos,361,1,180.0,46666,Baja,77,En Proceso,Bajo
AES Andes,Parque Solar,Los Lagos,RCA-8598,2025,Calidad de Aguas,Trimestral,Construccion,289,0,12.0,51212,Alta,100,Completado,Medio
Enel,Parque Eolico,Los Lagos,RCA-5838,2012,Reforestacion,Mensual,Construccion,63,1,6.0,60431,Media,77,En Proceso,Bajo
Transelec,Central Hidroelectrica,Coquimbo,RCA-6872,2012,Flora y Fauna,Mensual,Medio Ambiente,147,1,13.0,39752,Media,87,Completado,Bajo
Enel,Linea de Transmision,Coquimbo,RCA-4653,2023,Residuos,Semestral,Permisos,330,1,39.0,81404,Media,63,En Proceso,Bajo
Colbun,Central Hidroelectrica,Atacama,RCA-5299,2025,Reforestacion,Mensual,Operacion,356,2,34.0,59370,Baja,83,Completado,Bajo
CGE,Subestacion,Los Lagos,RCA-1973,2015,Arqueologia,Semestral,Permisos,304,0,23.0,87901,Alta,68,En Proceso,Medio
CGE,Subestacion,Antofagasta,RCA-8083,2010,Residuos,Mensual,Permisos,230,1,17.0,100397,Baja,91,Completado,Bajo
Engie,Subestacion,Valparaiso,RCA-6494,2020,Reforestacion,Mensual,Permisos,168,1,1.0,33174,Baja,91,Completado,Bajo
CGE,Parque Solar,Atacama,RCA-4406,2013,Arqueologia,Anual,Operacion,88,3,7.0,59382,Media,68,En Proceso,Medio
Engie,Linea de Transmision,Antofagasta,RCA-6150,2022,Flora y Fauna,Mensual,,317,3,13.0,36363,Media,80,Completado,Bajo
AES Andes,Parque Solar,Los Lagos,RCA-4129,2017,Arqueologia,Trimestral,Construccion,121,2,14.0,29063,Media,98,Completado,Bajo
Transelec,Parque Solar,Metropolitana,RCA-1104,2012,Calidad de Aguas,Trimestral,Operacion,324,3,17.0,88613,Alta,86,Completado,Medio
Colbun,Parque Eolico,Los Lagos,RCA-8433,2025,Ruido,Trimestral,Construccion,208,4,30.0,80279,Media,95,Completado,Bajo
Engie,Parque Eolico,Coquimbo,RCA-8689,2014,Calidad de Aguas,Anual,Medio Ambiente,359,0,34.0,60853,Media,67,En Proceso,Bajo
Transelec,Subestacion,Valparaiso,RCA-4567,2011,Reforestacion,Trimestral,Construccion,298,1,,51242,Alta,78,En Proceso,Medio
CGE,Subestacion,Biobio,RCA-5348,2024,Reforestacion,Trimestral,Permisos,149,1,25.0,47965,Media,88,Completado,Bajo
CGE,Linea de Transmision,Valparaiso,RCA-5390,2011,Emisiones Atmosfericas,Semestral,Territorio,31,0,35.0,79412,Alta,48,En Proceso,Medio
Transelec,Linea de Transmision,Biobio,RCA-7811,2020,Calidad de Aguas,Mensual,Territorio,21,1,9.0,69201,Media,4,Pendiente,Alto
CGE,Linea de Transmision,Valparaiso,RCA-2181,2022,Residuos,Trimestral,Permisos,67,0,6.0,52594,Media,51,En Proceso,Bajo
AES Andes,Subestacion,Coquimbo,RCA-5644,2016,Flora y Fauna,Anual,Construccion,271,0,26.0,85437,Media,94,Completado,Bajo
AES Andes,Linea de Transmision,Biobio,RCA-6873,2019,Emisiones Atmosfericas,Trimestral,Permisos,68,2,38.0,82064,Alta,39,Pendiente,Alto
Transelec,Central Hidroelectrica,Antofagasta,RCA-5394,2012,Emisiones Atmosfericas,Semestral,Operacion,43,0,39.0,50734,Media,44,En Proceso,Bajo
Engie,Parque Solar,Biobio,RCA-4534,2014,Emisiones Atmosfericas,Trimestral,Construccion,134,1,27.0,63143,Media,61,En Proceso,Bajo
Engie,Subestacion,Atacama,RCA-6844,2012,Reforestacion,Semestral,Permisos,119,2,31.0,96515,Media,81,Completado,Bajo
Transelec,Parque Solar,Antofagasta,RCA-6939,2015,Ruido,Anual,Operacion,49,1,3.0,93709,Media,77,En Proceso,Bajo
Engie,Linea de Transmision,Atacama,RCA-7475,2022,Arqueologia,Mensual,Operacion,220,2,24.0,58595,Alta,94,Completado,Medio
Engie,Subestacion,Los Lagos,RCA-2774,2019,Residuos,Mensual,,92,1,15.0,116537,Media,98,Completado,Bajo
AES Andes,Parque Solar,Valparaiso,RCA-9283,2012,Reforestacion,Trimestral,Medio Ambiente,340,1,6.0,70618,Media,78,En Proceso,Bajo
Engie,Subestacion,Antofagasta,RCA-1446,2017,Flora y Fauna,Semestral,Medio Ambiente,181,2,11.0,94712,Alta,71,En Proceso,Medio
Enel,Subestacion,Valparaiso,RCA-1108,2011,Reforestacion,Mensual,Operacion,269,0,30.0,48717,Media,93,Completado,Bajo
Colbun,Central Hidroelectrica,Los Lagos,RCA-4239,2012,Ruido,Mensual,Medio Ambiente,109,1,35.0,71194,Baja,79,En Proceso,Bajo
CGE,Central Hidroelectrica,Metropolitana,RCA-6931,2017,Reforestacion,Mensual,Operacion,338,0,38.0,52108,Baja,66,En Proceso,Bajo
Enel,Parque Solar,Valparaiso,RCA-5053,2017,Reforestacion,Anual,Medio Ambiente,305,0,29.0,33662,Media,83,Completado,Bajo
Engie,Parque Solar,Los Lagos,RCA-5537,2010,Calidad de Aguas,Trimestral,Operacion,175,3,23.0,73939,Alta,62,En Proceso,Medio
AES Andes,Parque Solar,Valparaiso,RCA-7361,2017,Flora y Fauna,Trimestral,Operacion,112,1,3.0,66800,Media,65,En Proceso,Bajo
Transelec,Linea de Transmision,Los Lagos,RCA-2245,2019,Emisiones Atmosfericas,Mensual,Operacion,359,0,26.0,101801,Alta,92,Completado,Medio
Engie,Subestacion,Atacama,RCA-3720,2011,Flora y Fauna,Mensual,Operacion,165,3,14.0,60561,Alta,93,Completado,Medio
AES Andes,Linea de Transmision,Los Lagos,RCA-9469,2021,Flora y Fauna,Mensual,Territorio,287,2,19.0,81719,Alta,92,Completado,Medio
Colbun,Subestacion,Biobio,RCA-8741,2016,Calidad de Aguas,Mensual,Medio Ambiente,44,0,21.0,64854,Alta,58,En Proceso,Medio
Engie,Parque Solar,Metropolitana,RCA-6105,2015,Arqueologia,Anual,Operacion,30,1,21.0,50672,Baja,52,En Proceso,Bajo
Transelec,Linea de Transmision,Valparaiso,RCA-3922,2011,Reforestacion,Anual,Permisos,87,1,9.0,95162,Baja,33,Pendiente,Medio
AES Andes,Central Hidroelectrica,Los Lagos,RCA-3513,2014,Residuos,Mensual,Construccion,177,2,13.0,59646,Alta,64,En Proceso,Medio
AES Andes,Central Hidroelectrica,Los Lagos,RCA-3801,2016,Emisiones Atmosfericas,Mensual,Permisos,177,0,37.0,64146,Media,93,Completado,Bajo
AES Andes,Parque Eolico,Valparaiso,RCA-7981,2017,Arqueologia,Mensual,Permisos,286,1,38.0,45317,Alta,75,En Proceso,Medio
Colbun,Parque Solar,Metropolitana,RCA-9221,2012,Ruido,Trimestral,Territorio,74,2,,32785,Media,69,En Proceso,Bajo
Engie,Central Hidroelectrica,Metropolitana,RCA-7502,2010,Reforestacion,Mensual,Medio Ambiente,327,2,38.0,86329,Media,62,En Proceso,Bajo
Colbun,Linea de Transmision,Los Lagos,RCA-7038,2022,Emisiones Atmosfericas,Mensual,Territorio,10,2,11.0,72522,Alta,42,En Proceso,Medio
CGE,Parque Eolico,Antofagasta,RCA-7229,2016,Residuos,Mensual,,288,2,29.0,97955,Baja,73,En Proceso,Bajo
CGE,Linea de Transmision,Atacama,RCA-1364,2022,Reforestacion,Semestral,,199,2,38.0,87723,Media,92,Completado,Bajo
Engie,Parque Eolico,Metropolitana,RCA-2800,2014,Ruido,Semestral,Territorio,17,0,17.0,43876,Baja,27,Pendiente,Alto
Colbun,Linea de Transmision,Metropolitana,RCA-6958,2014,Calidad de Aguas,Trimestral,Construccion,67,1,26.0,75080,Alta,70,En Proceso,Medio
Transelec,Central Hidroelectrica,Coquimbo,RCA-8436,2016,Arqueologia,Mensual,Medio Ambiente,17,2,26.0,74113,Baja,14,Pendiente,Alto
AES Andes,Central Hidroelectrica,Biobio,RCA-5793,2010,Reforestacion,Anual,Territorio,253,0,12.0,100275,Media,63,En Proceso,Bajo
AES Andes,Linea de Transmision,Metropolitana,RCA-9160,2017,Emisiones Atmosfericas,Anual,Construccion,209,1,18.0,105826,Alta,79,En Proceso,Medio
Engie,Subestacion,Atacama,RCA-1179,2021,Flora y Fauna,Mensual,Permisos,257,0,9.0,31774,Alta,84,Completado,Medio
CGE,Central Hidroelectrica,Biobio,RCA-4873,2023,Residuos,Mensual,Operacion,44,3,3.0,102465,Media,64,En Proceso,Medio
CGE,Subestacion,Biobio,RCA-4960,2025,Reforestacion,Trimestral,Operacion,169,2,10.0,99104,Baja,98,Completado,Bajo
AES Andes,Central Hidroelectrica,Valparaiso,RCA-2186,2019,Emisiones Atmosfericas,Mensual,Permisos,35,1,2.0,54706,Alta,51,En Proceso,Medio
Engie,Parque Solar,Valparaiso,RCA-1773,2024,Flora y Fauna,Trimestral,Territorio,21,0,8.0,73861,Alta,34,Pendiente,Alto
Colbun,Subestacion,Valparaiso,RCA-5460,2014,Emisiones Atmosfericas,Trimestral,,141,1,18.0,22420,Alta,87,Completado,Medio
CGE,Linea de Transmision,Valparaiso,RCA-1352,2017,Reforestacion,Trimestral,Construccion,324,1,39.0,73743,Alta,69,En Proceso,Medio
Colbun,Linea de Transmision,Coquimbo,RCA-7943,2019,Ruido,Mensual,,317,2,31.0,48754,Media,75,En Proceso,Bajo
CGE,Parque Eolico,Metropolitana,RCA-6202,2024,Flora y Fauna,Trimestral,Territorio,169,1,14.0,88023,Media,82,Completado,Bajo
CGE,Subestacion,Valparaiso,RCA-6344,2019,Flora y Fauna,Anual,Medio Ambiente,285,0,39.0,85332,Alta,78,En Proceso,Medio
Enel,Parque Solar,Los Lagos,RCA-5507,2014,Emisiones Atmosfericas,Mensual,Permisos,227,1,33.0,72648,Alta,60,En Proceso,Medio
CGE,Subestacion,Antofagasta,RCA-5830,2021,Calidad de Aguas,Trimestral,Operacion,126,0,29.0,79915,Alta,60,En Proceso,Medio
Transelec,Parque Solar,Valparaiso,RCA-1117,2016,Reforestacion,Mensual,Medio Ambiente,82,0,33.0,55253,Baja,75,En Proceso,Bajo
Engie,Central Hidroelectrica,Metropolitana,RCA-1481,2019,Calidad de Aguas,Mensual,Medio Ambiente,317,1,35.0,46788,Alta,85,Completado,Medio
Engie,Central Hidroelectrica,Valparaiso,RCA-5287,2012,Arqueologia,Trimestral,Operacion,331,1,,127858,Media,93,Completado,Bajo
Colbun,Subestacion,Coquimbo,RCA-7802,2011,Ruido,Mensual,Medio Ambiente,92,3,35.0,100613,Media,61,En Proceso,Bajo
CGE,Parque Eolico,Atacama,RCA-9298,2015,Calidad de Aguas,Mensual,Medio Ambiente,117,3,32.0,78270,Alta,87,Completado,Medio
Transelec,Parque Eolico,Atacama,RCA-5477,2014,Emisiones Atmosfericas,Mensual,Operacion,104,2,36.0,69648,Alta,79,En Proceso,Medio
Colbun,Parque Solar,Metropolitana,RCA-7533,2018,Reforestacion,Trimestral,Operacion,307,2,23.0,135071,Media,86,Completado,Bajo
Enel,Central Hidroelectrica,Los Lagos,RCA-1243,2019,Calidad de Aguas,Semestral,Permisos,243,2,5.0,116839,Alta,87,Completado,Medio
Colbun,Linea de Transmision,Atacama,RCA-8012,2013,Arqueologia,Mensual,Permisos,350,0,16.0,67881,Alta,90,Completado,Medio
Colbun,Linea de Transmision,Atacama,RCA-1865,2020,Residuos,Trimestral,Medio Ambiente,115,3,24.0,50734,Alta,66,En Proceso,Medio
CGE,Central Hidroelectrica,Antofagasta,RCA-6329,2012,Arqueologia,Mensual,Territorio,94,0,28.0,76311,Alta,67,En Proceso,Medio
Enel,Subestacion,Metropolitana,RCA-1603,2018,Flora y Fauna,Trimestral,Permisos,143,1,25.0,65549,Alta,91,Completado,Medio
Colbun,Parque Eolico,Los Lagos,RCA-6756,2017,Reforestacion,Trimestral,Permisos,139,1,7.0,51321,Baja,70,En Proceso,Bajo
Transelec,Central Hidroelectrica,Metropolitana,RCA-5018,2015,Flora y Fauna,Trimestral,Territorio,16,0,38.0,109299,Media,47,En Proceso,Medio
Transelec,Linea de Transmision,Atacama,RCA-6192,2010,Calidad de Aguas,Anual,Territorio,248,1,7.0,88109,Alta,85,Completado,Medio
Engie,Central Hidroelectrica,Atacama,RCA-3015,2023,Calidad de Aguas,Anual,Operacion,186,1,22.0,64817,Alta,84,Completado,Medio
Enel,Subestacion,Atacama,RCA-4380,2019,Arqueologia,Mensual,Permisos,199,1,22.0,64472,Baja,66,En Proceso,Bajo
Enel,Parque Solar,Biobio,RCA-4770,2022,Arqueologia,Semestral,Construccion,126,2,27.0,75321,Baja,79,En Proceso,Bajo
Engie,Parque Solar,Coquimbo,RCA-6829,2021,Emisiones Atmosfericas,Mensual,Construccion,57,0,33.0,62849,Media,70,En Proceso,Bajo
Colbun,Central Hidroelectrica,Valparaiso,RCA-2613,2020,Ruido,Anual,Medio Ambiente,360,2,32.0,60688,Alta,89,Completado,Medio
Enel,Linea de Transmision,Coquimbo,RCA-2879,2010,Emisiones Atmosfericas,Mensual,,177,0,39.0,126344,Media,60,En Proceso,Bajo
Transelec,Subestacion,Metropolitana,RCA-6372,2021,Flora y Fauna,Mensual,Construccion,183,2,32.0,52201,Alta,77,En Proceso,Medio
Transelec,Parque Solar,Antofagasta,RCA-5108,2015,Emisiones Atmosfericas,Mensual,Permisos,297,0,1.0,19712,Alta,67,En Proceso,Medio
CGE,Parque Eolico,Valparaiso,RCA-9978,2022,Arqueologia,Mensual,Permisos,63,0,10.0,91358,Media,58,En Proceso,Bajo
Enel,Parque Solar,Antofagasta,RCA-1148,2012,Reforestacion,Semestral,,58,0,4.0,102910,Baja,69,En Proceso,Bajo
Colbun,Linea de Transmision,Los Lagos,RCA-2754,2012,Emisiones Atmosfericas,Anual,Permisos,261,0,29.0,78853,Alta,81,Completado,Medio
Engie,Linea de Transmision,Biobio,RCA-8378,2015,Residuos,Trimestral,Territorio,249,1,7.0,34721,Baja,91,Completado,Bajo
Engie,Subestacion,Metropolitana,RCA-7681,2022,Ruido,Semestral,Medio Ambiente,153,2,38.0,71602,Media,99,Completado,Bajo
Colbun,Parque Eolico,Biobio,RCA-4756,2012,Arqueologia,Semestral,Operacion,288,3,6.0,62282,Baja,73,En Proceso,Bajo
AES Andes,Linea de Transmision,Metropolitana,RCA-6392,2022,Reforestacion,Mensual,Construccion,20,0,11.0,108428,Alta,1,Pendiente,Alto
CGE,Linea de Transmision,Antofagasta,RCA-4052,2020,Calidad de Aguas,Mensual,Operacion,180,0,9.0,53872,Media,94,Completado,Bajo
Engie,Central Hidroelectrica,Antofagasta,RCA-6692,2019,Emisiones Atmosfericas,Mensual,Medio Ambiente,32,0,30.0,80761,Alta,36,Pendiente,Alto
Enel,Linea de Transmision,Antofagasta,RCA-5218,2015,Arqueologia,Mensual,Territorio,133,2,22.0,89949,Media,62,En Proceso,Bajo
CGE,Central Hidroelectrica,Metropolitana,RCA-5803,2014,Calidad de Aguas,Mensual,Territorio,227,2,39.0,53560,Media,74,En Proceso,Bajo
Enel,Parque Solar,Atacama,RCA-3377,2013,Calidad de Aguas,Mensual,Territorio,248,0,9.0,60125,Media,93,Completado,Bajo
Transelec,Parque Eolico,Antofagasta,RCA-6086,2017,Flora y Fauna,Mensual,Territorio,358,0,38.0,85832,Media,81,Completado,Bajo
CGE,Linea de Transmision,Biobio,RCA-4182,2011,Flora y Fauna,Mensual,Construccion,242,1,33.0,-5098,Alta,77,En Proceso,Medio
Engie,Linea de Transmision,Los Lagos,RCA-4160,2024,Reforestacion,Anual,Construccion,236,3,26.0,109048,Baja,77,En Proceso,Bajo
CGE,Parque Eolico,Valparaiso,RCA-7576,2021,Arqueologia,Mensual,Permisos,330,0,16.0,49715,Baja,93,Completado,Bajo
CGE,Parque Eolico,Metropolitana,RCA-9903,2023,Reforestacion,Trimestral,Permisos,96,1,9.0,76106,Media,95,Completado,Bajo
CGE,Parque Eolico,Biobio,RCA-3586,2020,Arqueologia,Trimestral,Medio Ambiente,7,1,23.0,41183,Media,45,En Proceso,Medio
AES Andes,Linea de Transmision,Coquimbo,RCA-3648,2016,Residuos,Trimestral,Permisos,85,1,15.0,107959,Media,68,En Proceso,Bajo
CGE,Parque Eolico,Los Lagos,RCA-8313,2013,Ruido,Mensual,Medio Ambiente,48,3,,75012,Baja,76,En Proceso,Medio
Enel,Parque Eolico,Coquimbo,RCA-2717,2011,Ruido,Mensual,Medio Ambiente,159,1,16.0,80347,Alta,97,Completado,Medio
Transelec,Parque Solar,Valparaiso,RCA-6308,2024,Arqueologia,Mensual,Medio Ambiente,28,3,25.0,88984,Baja,36,Pendiente,Alto
Colbun,Parque Eolico,Atacama,RCA-8407,2016,Flora y Fauna,Mensual,Territorio,103,5,35.0,102246,Alta,77,En Proceso,Medio
CGE,Parque Eolico,Antofagasta,RCA-1870,2022,Emisiones Atmosfericas,Mensual,Operacion,175,0,13.0,47032,Alta,99,Completado,Medio
Engie,Parque Solar,Metropolitana,RCA-4574,2010,Reforestacion,Trimestral,Operacion,152,1,7.0,68262,Baja,88,Completado,Bajo
CGE,Linea de Transmision,Biobio,RCA-6827,2013,Residuos,Trimestral,Construccion,127,3,34.0,106563,Media,71,En Proceso,Bajo
Engie,Subestacion,Antofagasta,RCA-8986,2018,Ruido,Trimestral,,116,1,14.0,64022,Media,77,En Proceso,Bajo
Enel,Linea de Transmision,Biobio,RCA-9462,2023,Arqueologia,Trimestral,Territorio,134,0,23.0,109172,Alta,90,Completado,Medio
Engie,Subestacion,Metropolitana,RCA-9741,2013,Flora y Fauna,Mensual,Permisos,72,1,23.0,80151,Media,44,En Proceso,Bajo
Colbun,Subestacion,Coquimbo,RCA-6769,2021,Flora y Fauna,Semestral,Permisos,351,0,17.0,64400,Media,99,Completado,Bajo
Transelec,Linea de Transmision,Antofagasta,RCA-6733,2022,Flora y Fauna,Mensual,Construccion,320,1,13.0,92334,Alta,89,Completado,Medio
Engie,Subestacion,Valparaiso,RCA-4240,2012,Reforestacion,Semestral,Construccion,221,0,27.0,71157,Media,95,Completado,Bajo
Engie,Linea de Transmision,Atacama,RCA-5893,2019,Emisiones Atmosfericas,Semestral,Medio Ambiente,100,0,2.0,96254,Alta,87,Completado,Medio
Transelec,Parque Eolico,Valparaiso,RCA-1886,2019,Calidad de Aguas,Trimestral,Medio Ambiente,149,1,37.0,63024,Alta,74,En Proceso,Medio
Colbun,Central Hidroelectrica,Atacama,RCA-6854,2011,Reforestacion,Mensual,Permisos,37,1,30.0,96418,Alta,72,En Proceso,Medio
CGE,Linea de Transmision,Los Lagos,RCA-6318,2025,Emisiones Atmosfericas,Trimestral,Permisos,290,4,4.0,85937,Alta,92,Completado,Medio
Engie,Central Hidroelectrica,Biobio,RCA-3258,2023,Flora y Fauna,Mensual,Permisos,9,3,30.0,66534,Media,1,Pendiente,Alto
Transelec,Parque Solar,Antofagasta,RCA-5382,2024,Arqueologia,Mensual,Permisos,122,2,3.0,29423,Alta,67,En Proceso,Medio
Enel,Linea de Transmision,Antofagasta,RCA-2785,2012,Residuos,Mensual,Operacion,144,4,14.0,86962,Alta,92,Completado,Medio
Transelec,Linea de Transmision,Los Lagos,RCA-8727,2010,Emisiones Atmosfericas,Mensual,Medio Ambiente,234,1,11.0,101876,Alta,94,Completado,Medio
Enel,Parque Solar,Atacama,RCA-1295,2019,Arqueologia,Trimestral,Medio Ambiente,164,0,23.0,79805,Media,77,En Proceso,Bajo
Colbun,Parque Eolico,Coquimbo,RCA-3597,2017,Reforestacion,Semestral,Permisos,298,1,32.0,18885,Baja,85,Completado,Bajo
CGE,Parque Eolico,Metropolitana,RCA-1680,2010,Reforestacion,Mensual,Territorio,253,0,3.0,103491,Media,80,Completado,Bajo
Transelec,Linea de Transmision,Valparaiso,RCA-5890,2012,Flora y Fauna,Anual,Permisos,277,0,1.0,84950,Alta,87,Completado,Medio
AES Andes,Linea de Transmision,Los Lagos,RCA-5298,2023,Residuos,Anual,Construccion,190,0,9.0,90444,Baja,79,En Proceso,Bajo
Engie,Subestacion,Biobio,RCA-1324,2012,Ruido,Anual,Territorio,44,1,9.0,73010,Baja,74,En Proceso,Bajo
Colbun,Linea de Transmision,Los Lagos,RCA-8952,2022,Ruido,Semestral,Construccion,228,0,12.0,26701,Media,79,En Proceso,Bajo
Transelec,Linea de Transmision,Valparaiso,RCA-1986,2024,Reforestacion,Mensual,Territorio,156,1,1.0,89512,Media,63,En Proceso,Bajo
Engie,Linea de Transmision,Valparaiso,RCA-4118,2011,Arqueologia,Mensual,Construccion,144,1,16.0,69512,Media,95,Completado,Bajo
